content,rating,at,bank,sentiment,sentiment_score
very good app,1,2025-06-08 22:24:23,CBE,Positive,0.4927
Very amazing app indeed. I'm enjoying it,5,2025-06-08 18:52:23,CBE,Positive,0.8173
Best,5,2025-06-08 15:25:37,CBE,Positive,0.6369
20 years,5,2025-06-08 09:04:48,CBE,Neutral,0.0
A great app. It's like carrying a bank in your pocket.,4,2025-06-07 17:21:52,CBE,Positive,0.765
More than garrantty bank EBC.,4,2025-06-07 15:21:26,CBE,Neutral,0.0
really am happy to this app it is Siple to use everything,5,2025-06-07 08:02:38,CBE,Positive,0.6096
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07 07:50:29,CBE,Negative,-0.298
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06 06:54:11,CBE,Positive,0.6369
what is this app problem???,1,2025-06-05 19:16:56,CBE,Negative,-0.5007
the app is proactive and a good connections.,5,2025-06-05 12:55:10,CBE,Positive,0.6908
I cannot send to cbebirr app. through this app.,3,2025-06-05 08:12:49,CBE,Neutral,0.0
good,4,2025-06-05 07:21:59,CBE,Positive,0.4404
not functional,1,2025-06-05 04:38:12,CBE,Neutral,0.0
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04 18:33:36,CBE,Positive,0.1739
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04 17:54:30,CBE,Neutral,0.0
best,5,2025-06-04 16:59:04,CBE,Positive,0.6369
bezabih,5,2025-06-04 15:22:41,CBE,Neutral,0.0
Best Mobile Banking app ever,5,2025-06-04 13:50:52,CBE,Positive,0.6369
good,5,2025-06-04 13:00:15,CBE,Positive,0.4404
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04 12:56:02,CBE,Positive,0.6369
good,5,2025-06-04 11:59:40,CBE,Positive,0.4404
Good,5,2025-06-04 11:52:50,CBE,Positive,0.4404
👌👍,5,2025-06-04 09:43:21,CBE,Neutral,0.0
very niec,5,2025-06-04 08:21:53,CBE,Neutral,0.0
best app of finance,5,2025-06-04 04:38:54,CBE,Positive,0.6369
yetemeta,1,2025-06-03 18:04:44,CBE,Neutral,0.0
Engida Kebede Fetera,5,2025-06-03 17:20:23,CBE,Neutral,0.0
good,5,2025-06-03 08:32:52,CBE,Positive,0.4404
it is not safety,1,2025-06-03 06:14:31,CBE,Negative,-0.3252
NICE bank,5,2025-06-03 05:42:36,CBE,Positive,0.5473
it is like a childish app make it better the worst I have ever seen,1,2025-06-02 09:23:42,CBE,Negative,-0.2263
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02 07:40:18,CBE,Positive,0.3612
It's good but try to make it facilitate for your client,4,2025-06-02 06:11:40,CBE,Positive,0.2382
best app,5,2025-06-01 18:16:28,CBE,Positive,0.6369
Awesome bank,5,2025-06-01 17:31:42,CBE,Positive,0.6249
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31 18:21:18,CBE,Positive,0.9536
Masha alla,5,2025-05-31 11:37:05,CBE,Neutral,0.0
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31 08:30:33,CBE,Negative,-0.3174
better service,5,2025-05-31 04:28:05,CBE,Positive,0.4404
"it,s good app and time manager 👍",5,2025-05-30 16:13:36,CBE,Positive,0.4404
malkaamuu Jiidhaa Namoo,5,2025-05-30 12:08:04,CBE,Neutral,0.0
lower system everything,3,2025-05-30 10:45:05,CBE,Negative,-0.296
Nice!,5,2025-05-30 08:55:13,CBE,Positive,0.4753
Keep it up My CBE,5,2025-05-29 06:38:37,CBE,Neutral,0.0
yes good,5,2025-05-28 12:56:18,CBE,Positive,0.6808
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27 20:47:06,CBE,Negative,-0.8176
i like everything of this app,5,2025-05-27 18:34:01,CBE,Positive,0.3612
good,5,2025-05-27 14:48:15,CBE,Positive,0.4404
🤬🤬🤬🤬 network 🛜,1,2025-05-26 14:59:50,CBE,Neutral,0.0
Best,5,2025-05-26 12:22:54,CBE,Positive,0.6369
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26 10:43:02,CBE,Positive,0.9041
nice,5,2025-05-26 10:26:26,CBE,Positive,0.4215
good job,5,2025-05-26 09:31:42,CBE,Positive,0.4404
Good,5,2025-05-25 16:44:05,CBE,Positive,0.4404
it's awesome!!,5,2025-05-25 15:13:12,CBE,Positive,0.6892
best,5,2025-05-25 14:34:23,CBE,Positive,0.6369
thankyou every one,5,2025-05-25 11:10:07,CBE,Neutral,0.0
best app,5,2025-05-25 10:35:41,CBE,Positive,0.6369
Ronaldo 🇵🇹 🥇,5,2025-05-25 09:56:24,CBE,Neutral,0.0
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25 08:51:45,CBE,Positive,0.9379
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25 07:54:25,CBE,Negative,-0.7841
mortuary app,5,2025-05-25 06:23:34,CBE,Neutral,0.0
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25 04:30:44,CBE,Positive,0.2144
amazing app I am used this app for one year,4,2025-05-24 20:26:43,CBE,Positive,0.5859
👍,5,2025-05-24 15:36:13,CBE,Neutral,0.0
good app,5,2025-05-24 14:06:49,CBE,Positive,0.4404
i love it 😍😘,5,2025-05-24 13:05:47,CBE,Positive,0.6369
It makes life easy!👌,5,2025-05-24 11:47:07,CBE,Neutral,0.0
its not fast,1,2025-05-24 11:02:19,CBE,Neutral,0.0
wow,4,2025-05-24 06:26:38,CBE,Positive,0.5859
it is sooo good,5,2025-05-24 06:26:18,CBE,Positive,0.4404
excellent,5,2025-05-24 01:51:52,CBE,Positive,0.5719
ok,1,2025-05-23 22:33:28,CBE,Positive,0.296
Fantastic,5,2025-05-23 20:51:45,CBE,Positive,0.5574
accessible to using,5,2025-05-23 20:26:13,CBE,Neutral,0.0
I like it,4,2025-05-23 17:14:08,CBE,Positive,0.3612
good,5,2025-05-23 17:01:01,CBE,Positive,0.4404
why you change default network?,5,2025-05-23 15:14:51,CBE,Neutral,0.0
very nice 👍,5,2025-05-23 14:27:51,CBE,Positive,0.4754
good,5,2025-05-23 13:15:22,CBE,Positive,0.4404
nice fast app,5,2025-05-23 12:27:32,CBE,Positive,0.4215
good,5,2025-05-23 10:04:04,CBE,Positive,0.4404
best,5,2025-05-23 02:49:33,CBE,Positive,0.6369
how to I get my money,5,2025-05-22 22:43:04,CBE,Neutral,0.0
"Very bad, can't even load they need to improve their services.",1,2025-05-22 19:46:06,CBE,Negative,-0.2247
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22 17:33:56,CBE,Positive,0.6183
very busy I don't know why... I prefer 889,3,2025-05-22 16:55:41,CBE,Neutral,0.0
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22 16:24:00,CBE,Negative,-0.7184
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22 15:27:34,CBE,Negative,-0.3804
hojii bonsaadha,5,2025-05-22 14:52:02,CBE,Neutral,0.0
ok,5,2025-05-22 14:50:33,CBE,Positive,0.296
ok,5,2025-05-22 14:30:13,CBE,Positive,0.296
user-friendly apps.because this app is easy.,5,2025-05-22 13:46:03,CBE,Positive,0.4404
Awosome!!!,5,2025-05-22 13:14:31,CBE,Neutral,0.0
"Very good app,",5,2025-05-22 13:09:44,CBE,Positive,0.4927
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22 13:03:46,CBE,Positive,0.4854
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22 12:20:56,CBE,Positive,0.4754
I hate this app 😒,1,2025-05-22 09:27:49,CBE,Negative,-0.5719
trustful,5,2025-05-22 08:00:13,CBE,Positive,0.4767
it's not working,3,2025-06-05 08:57:36,BOA,Neutral,0.0
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03 13:21:34,BOA,Negative,-0.1884
exceptional,5,2025-06-03 07:32:35,BOA,Neutral,0.0
BoA Mobile good bank,5,2025-06-02 11:25:12,BOA,Positive,0.4404
this is worest app 24/7 loading,1,2025-06-01 12:51:10,BOA,Neutral,0.0
This App is not interest for Android phone Please update it .,1,2025-06-01 07:17:10,BOA,Neutral,-0.0464
BoA system is confartable,5,2025-05-31 21:47:32,BOA,Neutral,0.0
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27 18:16:27,BOA,Negative,-0.8491
Good service.,3,2025-05-25 16:14:52,BOA,Positive,0.4404
the app crush frequently,1,2025-05-24 09:24:56,BOA,Negative,-0.1531
good,5,2025-05-22 12:34:58,BOA,Positive,0.4404
You guys keeps getting worst,1,2025-05-22 05:57:39,BOA,Negative,-0.6249
good,5,2025-05-21 16:16:49,BOA,Positive,0.4404
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21 10:49:15,BOA,Positive,0.7757
BoA,2,2025-05-20 12:21:55,BOA,Neutral,0.0
good,5,2025-05-20 07:57:13,BOA,Positive,0.4404
but not opening on android,4,2025-05-19 14:19:32,BOA,Neutral,0.0
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18 12:36:47,BOA,Negative,-0.6249
amazing,5,2025-05-18 11:34:19,BOA,Positive,0.5859
excellent app,4,2025-05-16 18:34:42,BOA,Positive,0.5719
excellent,5,2025-05-15 12:42:43,BOA,Positive,0.5719
ሞላዬ ከበደ,5,2025-05-14 12:47:57,BOA,Neutral,0.0
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11 16:07:08,BOA,Negative,-0.296
nice,5,2025-05-10 15:48:38,BOA,Positive,0.4215
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10 09:44:44,BOA,Negative,-0.4639
Best app,5,2025-05-09 13:12:56,BOA,Positive,0.6369
liking this application good 👍,5,2025-05-07 15:34:10,BOA,Positive,0.6808
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06 15:06:33,BOA,Negative,-0.775
good,5,2025-05-06 14:44:32,BOA,Positive,0.4404
good,5,2025-05-02 18:50:25,BOA,Positive,0.4404
good,4,2025-04-30 08:23:56,BOA,Positive,0.4404
good,4,2025-04-30 07:34:17,BOA,Positive,0.4404
wow,5,2025-04-28 14:51:26,BOA,Positive,0.5859
it's really good 👍,5,2025-04-23 16:44:14,BOA,Positive,0.4927
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23 11:16:20,BOA,Negative,-0.6705
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20 18:05:21,BOA,Neutral,0.0
Best,2,2025-04-19 15:38:02,BOA,Positive,0.6369
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19 04:15:54,BOA,Negative,-0.6571
yideg,1,2025-04-17 21:18:40,BOA,Neutral,0.0
አይከፍትም እኮ,1,2025-04-17 07:12:16,BOA,Neutral,0.0
great boa,5,2025-04-10 11:33:26,BOA,Positive,0.6249
Best,5,2025-04-10 08:53:01,BOA,Positive,0.6369
boa of mobile backing,5,2025-04-09 11:32:34,BOA,Neutral,0.0258
nice,5,2025-04-09 01:01:08,BOA,Positive,0.4215
faster bank of Abissinya,5,2025-04-08 13:36:23,BOA,Neutral,0.0
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08 07:12:19,BOA,Negative,-0.4215
it just doesn't work...so frustrating,1,2025-04-07 15:04:17,BOA,Positive,0.3412
like,5,2025-04-06 19:17:21,BOA,Positive,0.3612
it's not work correctly... you must have update it,1,2025-04-06 08:01:42,BOA,Neutral,0.0
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04 19:57:29,BOA,Positive,0.6542
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04 09:38:08,BOA,Positive,0.4939
good but they don't update enough don't add new things,3,2025-04-04 09:24:06,BOA,Positive,0.2382
very good,5,2025-04-03 05:50:56,BOA,Positive,0.4927
thank you,5,2025-04-02 00:33:00,BOA,Positive,0.3612
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-03-31 21:27:34,BOA,Neutral,0.0
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31 20:55:06,BOA,Neutral,0.0
good application,5,2025-03-30 18:56:40,BOA,Positive,0.4404
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30 12:27:26,BOA,Neutral,0.0
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29 11:29:38,BOA,Negative,-0.2411
always problematic hardly works,1,2025-03-26 10:28:25,BOA,Negative,-0.4404
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25 15:33:59,BOA,Positive,0.1045
best app,5,2025-03-25 10:15:12,BOA,Positive,0.6369
very good,5,2025-03-25 09:56:42,BOA,Positive,0.4927
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24 14:00:42,BOA,Negative,-0.802
great BoA,5,2025-03-22 09:46:56,BOA,Positive,0.6249
best,5,2025-03-21 09:32:05,BOA,Positive,0.6369
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21 07:49:11,BOA,Positive,0.3182
good,5,2025-03-21 03:06:10,BOA,Positive,0.4404
good,5,2025-03-19 18:15:38,BOA,Positive,0.4404
there is no speed,1,2025-03-19 16:12:01,BOA,Negative,-0.296
"For anyone who wants to download it, just don't!!!",1,2025-03-19 13:02:57,BOA,Neutral,0.0
wonderful,5,2025-03-19 10:58:10,BOA,Positive,0.5719
all worck,5,2025-03-19 09:55:57,BOA,Neutral,0.0
Best app,5,2025-03-16 22:23:13,BOA,Positive,0.6369
Loved it,5,2025-03-14 14:57:04,BOA,Positive,0.5994
Wow,1,2025-03-14 00:37:53,BOA,Positive,0.5859
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12 19:41:25,BOA,Positive,0.8121
Improved to be the best,5,2025-03-11 09:32:31,BOA,Positive,0.8074
BoA,5,2025-03-11 07:51:57,BOA,Neutral,0.0
